Country Name,Country Code,2017 [YR2017] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2017 [YR2017] - Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],2017 [YR2017] - Control of Corruption: Estimate [CC.EST],"2017 [YR2017] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]",2017 [YR2017] - Government Effectiveness: Estimate [GE.EST],"2017 [YR2017] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2017 [YR2017] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",2017 [YR2017] - Methane emissions (metric tons of CO2 equivalent per capita) [EN.ATM.METH.PC],2017 [YR2017] - Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],2017 [YR2017] - Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],2017 [YR2017] - Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],2017 [YR2017] - Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],"2017 [YR2017] - School enrollment, primary (% gross) [SE.PRM.ENRR]",2017 [YR2017] - Strength of legal rights index (0=weak to 12=strong) [IC.LGL.CRED.XQ],"2017 [YR2017] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
Afghanistan,AFG,97.7,..,-1.516776,..,-1.325623,64.13,..,..,-2.780772,29.8,..,..,102.3105,9,1.55900001525879
Albania,ALB,100,..,-0.417942,..,0.0753428,78.333,..,..,0.3976249,6.2,..,..,107.0466,8,13.75
Algeria,DZA,100,..,-0.610061,..,-0.5964616,76.499,..,..,-0.9602967,3.9,..,..,111.7645,2,11.996000289917
Andorra,AND,100,..,1.242281,..,1.937318,..,..,..,1.449709,..,..,..,..,..,..
Angola,AGO,41.88623046875,..,-1.411941,..,-1.028804,60.379,..,..,-0.2946258,25,..,..,..,1,7.13899993896484
Antigua and Barbuda,ATG,100,..,0.2423304,..,0.0102434,76.752,..,..,0.7588617,..,..,..,103.669,5,..
Argentina,ARG,100,..,-0.2556084,..,0.1601257,76.372,..,..,0.1755473,4.6,..,..,109.7415,2,8.34700012207031
Armenia,ARM,100,..,-0.5600634,..,-0.0966434,74.797,99.73607,..,-0.7054557,4.3,..,..,94.08352,6,17.8269996643066
Australia,AUS,100,..,1.795016,..,1.535622,82.4975609756098,..,..,0.8962889,2.5,..,..,100.339,11,5.5939998626709
Austria,AUT,100,..,1.526027,..,1.461382,81.6414634146342,..,..,1.036315,2.5,..,..,103.1132,4,5.49900007247925
Azerbaijan,AZE,100,..,-0.8848943,..,-0.1615375,72.693,99.79123,..,-0.7603872,2.5,..,..,103.2941,2,5
"Bahamas, The",BHS,100,..,1.173898,..,0.5773413,73.554,..,..,0.9979036,..,..,..,..,6,12.3809995651245
Bahrain,BHR,100,..,-0.1406427,..,0.1859811,77.032,97.40389,..,-0.9481785,..,..,..,101.2131,1,0.947000026702881
Bangladesh,BGD,88,..,-0.8312891,..,-0.7379191,72.052,72.89297,..,-1.249297,14.7,..,..,..,5,4.37200021743774
Barbados,BRB,100,..,1.421144,..,0.8426257,78.981,..,..,0.9764111,3.9,..,..,97.76968,6,9.48700046539307
Belarus,BLR,100,..,-0.2572398,..,-0.3463647,74.1292682926829,..,..,0.0265175,2.5,..,..,101.9658,3,5.65000009536743
Belgium,BEL,100,..,1.497138,..,1.181864,81.4390243902439,..,..,0.4236702,2.5,..,..,103.9056,4,7.08599996566772
Belize,BLZ,98.2651214599609,..,-0.2716393,..,-0.6360012,74.365,..,..,0.0506222,7.5,..,..,113.2306,4,9
Benin,BEN,43.0777473449707,..,-0.5472075,..,-0.6434544,61.174,..,..,0.0453255,10.1,..,..,126.6461,6,2.1800000667572
Bhutan,BTN,97.7,..,1.568301,..,0.5575445,71.129,66.56115,..,1.12759,..,..,..,101.3341,4,2.17000007629395
Bolivia,BOL,91.8,..,-0.6568937,..,-0.3905794,70.945,..,..,-0.303178,17.1,..,..,97.55629,0,3.23300004005432
Bosnia and Herzegovina,BIH,100,..,-0.5150634,..,-0.4821007,77.128,..,..,-0.382096,2.5,..,..,..,7,20.4699993133545
Botswana,BWA,62.8249473571777,..,0.7988232,..,0.4251795,68.812,..,..,1.029,26.4,..,..,..,5,17.6310005187988
Brazil,BRA,100,..,-0.5316854,..,-0.287862,75.456,93.07582,..,-0.4050379,2.5,..,..,115.4478,2,12.8269996643066
Brunei Darussalam,BRN,100,..,0.7127975,..,1.144513,75.585,..,..,1.189136,3.2,..,..,104.8577,12,9.31599998474121
Bulgaria,BGR,100,..,-0.1607917,..,0.2611969,74.8121951219512,..,..,0.3732362,3.6,..,..,..,8,6.16400003433228
Burkina Faso,BFA,25.4737434387207,..,-0.1102404,..,-0.5888137,60.768,..,..,-0.9249717,20,..,..,93.65313,6,6.0149998664856
Burundi,BDI,9.3,..,-1.283351,..,-1.339432,60.898,68.37533,..,-1.970385,..,..,..,123.8596,2,1.50100004673004
Cabo Verde,CPV,92.9136352539063,..,0.8402322,..,0.1563388,72.57,..,..,0.9021815,12.6,..,..,103.2829,1,12.2410001754761
Cambodia,KHM,89.07,..,-1.290856,..,-0.6553081,69.289,..,..,0.1680294,16.4,..,..,107.8131,10,1.06200003623962
Cameroon,CMR,61.4018745422363,..,-1.184609,..,-0.8197913,58.511,..,..,-1.084649,9.9,..,..,..,6,3.35899996757507
Canada,CAN,100,..,1.924201,..,1.854211,82.2489756097561,..,..,1.110387,2.5,..,..,100.9437,9,6.34000015258789
Central African Republic,CAF,29.9820384979248,..,-1.172709,..,-1.770058,52.24,..,..,-1.938854,59.6,..,..,..,6,6.44700002670288
Chad,TCD,10.8764162063599,..,-1.431806,..,-1.461042,53.712,..,..,-1.34088,37.5,..,..,..,6,2.19899988174438
Chile,CHL,100,..,1.039394,..,0.8513755,79.909,96.40228,..,0.378081,2.7,..,..,101.4302,4,6.95800018310547
China,CHN,100,..,-0.2695962,..,0.4219082,76.47,..,..,-0.2510059,8.6,..,..,99.40481,4,4.40000009536743
Colombia,COL,99.5952377319336,..,-0.3696626,..,-0.0672727,76.925,..,..,-0.7858247,4.8,..,..,114.9833,11,8.87199974060059
Comoros,COM,79.9312896728516,..,-0.6845407,..,-1.566081,63.912,..,..,0.0306539,..,..,..,99.44759,6,3.69600009918213
"Congo, Dem. Rep.",COD,19.0936317443848,..,-1.417572,..,-1.634156,60.026,..,..,-2.301578,..,..,..,..,6,4.10200023651123
"Congo, Rep.",COG,66.2148513793945,..,-1.330078,..,-1.194322,63.954,..,..,-0.5272153,40.3,..,..,..,6,10.1560001373291
Costa Rica,CRI,99.6,..,0.4668472,..,0.2473534,79.914,..,..,0.510376,4.8,..,..,110.8335,10,8.14200019836426
Cote d'Ivoire,CIV,65.6357574462891,..,-0.5217495,..,-0.7414735,57.017,..,..,-1.09378,19,..,..,98.36802,6,2.48799991607666
Croatia,HRV,100,..,0.1869582,..,0.5767437,77.8268292682927,..,..,0.7452235,2.5,..,..,..,5,11.2080001831055
Cuba,CUB,100,..,0.2658699,..,-0.1978239,78.662,..,..,0.6918283,2.5,..,..,100.4602,..,2.27800011634827
Cyprus,CYP,100,..,0.7828787,..,0.9201956,80.672,..,..,0.6005784,5.6,..,..,..,7,11.0520000457764
Czech Republic,CZE,100,..,0.5678657,..,1.022965,79.4756097560976,..,..,1.015307,2.5,..,..,100.671,7,2.89000010490417
Denmark,DNK,100,..,2.193274,..,1.797004,81.0048780487805,..,..,0.8655067,2.5,..,..,101.2681,8,5.74300003051758
Djibouti,DJI,60.2,..,-0.6403099,..,-1.030469,65.893,..,..,-0.7084761,18.9,..,..,69.59624,1,11.1639995574951
Dominica,DMA,100,..,0.6517005,..,-0.2533445,..,..,..,1.043385,6.2,..,..,..,6,..
