,2000
ABW,28.210001
AFG,14.186356
AGO,22.019188
AIA,25.9025
ALB,11.9727
AND,9.367083
ANT,28.5525
ARE,27.474451
ARG,14.138643
ARM,8.2495365
ASM,27.809168
ATA,
ATF,27.441666
ATG,26.595835
AUS,21.741446
AUT,7.3465796
AZE,11.897138
BDI,21.314999
BEL,10.703272
BEN,28.036112
BFA,28.782934
BGD,25.46145
BGR,11.619306
BHR,27.987293
BHS,25.519901
BIH,10.462961
BLR,7.584703
BLZ,25.92426
BMU,21.548334
BOL,20.676594
BRA,25.454737
BRB,26.729584
BRN,26.34345
BTN,12.606019
BVT,
BWA,22.396309
CAF,25.704538
CAN,-6.5865912
CCK,26.634167
CHE,6.8526535
CHL,8.081626
CHN,7.2817774
CIV,26.570816
CMR,25.230734
COD,24.554897
COG,24.827452
COK,25.606668
COL,24.76174
COM,25.633835
CPV,23.237
CRI,25.501953
CUB,25.705475
CXR,25.920002
CYM,27.596668
CYP,19.60625
CZE,8.734167
DEU,9.537111
DJI,28.338528
DMA,23.250416
DNK,8.970652
DOM,24.765835
DZA,23.483904
ECU,21.62082
EGY,23.257118
ERI,27.399088
ESH,24.282963
ESP,14.496729
EST,6.506316
ETH,23.518023
FIN,2.5385795
FJI,24.375
FLK,6.3437257
FRA,11.643222
FRO,6.9345
FSM,27.43861
GAB,25.249949
GBR,9.37956
GEO,6.8733497
GGY,11.575
GHA,27.574398
GIB,17.880833
GIN,26.300945
GLP,25.61861
GMB,28.129822
GNB,27.374237
GNQ,24.845982
GRC,15.550087
GRD,27.007502
GRL,-16.584602
GTM,24.354822
GUF,25.980341
GUM,27.675833
GUY,26.048676
HKG,23.2575
HMD,
HND,24.4907
HRV,12.092284
HTI,25.152416
HUN,10.962563
IDN,26.209476
IMN,9.342501
IND,24.385965
IOT,27.433334
IRL,9.814844
IRN,18.48858
IRQ,22.323978
ISL,2.8112354
ISR,20.538939
ITA,13.24869
JAM,25.608667
JEY,11.671667
JOR,19.488935
JPN,12.151732
KAZ,6.9935937
KEN,25.217176
KGZ,2.8653226
KHM,27.19285
KIR,27.50625
KNA,24.955
KOR,12.090287
KWT,26.107244
LAO,23.963978
LBN,16.65825
LBR,25.638184
LBY,22.79634
LCA,26.834167
LIE,7.467083
LKA,27.41076
LSO,13.345952
LTU,7.440753
LUX,10.352738
LVA,6.94403
MAC,23.3875
MAR,18.333824
MCO,13.82
MDA,10.711191
MDG,23.10595
MDV,28.25639
MEX,21.653852
MHL,28.031391
MKD,10.315238
MLI,29.013851
MLT,19.421665
MMR,22.95952
MNE,10.140885
MNG,0.7552708
MNP,27.519169
MOZ,24.147251
MRT,28.42297
MSR,25.661667
MTQ,26.627918
MUS,23.397999
MWI,22.147266
MYS,25.967854
MYT,26.6875
NAM,20.605814
NCL,22.572325
NER,27.892609
NFK,18.600834
NGA,27.308857
NIC,25.645313
NIU,25.265835
NLD,10.660025
NOR,2.1245751
NPL,13.523323
NRU,27.845001
NZL,10.523855
OMN,26.064749
PAK,20.392813
PAN,25.555174
PCN,20.736668
PER,19.867207
PHL,26.230139
PLW,27.968891
PNG,25.313614
POL,8.718328
PRI,25.279015
PRK,6.8620195
PRT,15.744118
PRY,23.647253
PSE,20.442425
PYF,25.202639
QAT,28.013752
REU,20.742085
ROU,10.166607
RUS,-5.3140845
RWA,19.69177
SAU,25.54301
SDN,28.058933
SEN,28.510555
SGP,27.636667
SGS,
SHN,18.0875
SJM,-6.4254713
SLB,25.758648
SLE,26.487207
SLV,25.609295
SMR,11.63
SOM,27.199457
SPM,
SRB,11.10595
SSD,
STP,24.211111
SUR,26.157513
SVK,8.546726
SVN,10.292767
SWE,2.9807692
SWZ,20.441013
SYC,27.258612
SYR,18.5071
TCA,26.325832
TCD,27.53625
TGO,27.540094
THA,26.465158
TJK,4.9814434
TKL,28.755
TKM,16.275736
TLS,25.383928
TON,25.567223
TTO,26.535334
TUN,20.665403
TUR,12.085297
TUV,28.437
TWN,20.607464
TZA,23.124346
UGA,23.94797
UKR,9.35534
UMI,
URY,17.99851
USA,7.569972
UZB,13.260366
VAT,
VCT,27.731668
VEN,25.930332
VGB,25.754166
VIR,25.925
VNM,24.612774
VUT,24.222584
WLF,27.1975
WSM,27.795208
YEM,24.421627
ZAF,18.382233
ZMB,22.301014
ZWE,22.06602
